"STATEFP.x","COUNTYFP","COUNAME","STNAME","POPULATION","CENTER.LATITUDE","CENTER.LONGITUDE","ED_COUNT_15mile","ED_INVERSE_DIST_15mile","HEALTH_COUNT_15mile","HEALTH_INVERSE_DIST_15mile","GEOID","LSAD","tot_pov_sts_12mths_age_B17020_E","tot_pov_sts_12mths_age_B17020_M","tot_income_12mths_blw_pov_lvl_B17020_E","tot_income_12mths_blw_pov_lvl_B17020_M","tot_edu_attain_25yrs_and_up_B15003_E","tot_edu_attain_25yrs_and_up_B15003_M","tot_edu_attain_25yrs_and_up_HS_diploma_B15003_E","tot_edu_attain_25yrs_and_up_HS_diploma_B15003_M","tot_edu_attain_25yrs_and_up_GED_B15003_E","tot_edu_attain_25yrs_and_up_GED_B15003_M","tot_edu_attain_25yrs_and_up_somecollege_freshman_B15003_E","tot_edu_attain_25yrs_and_up_somecollege_freshman_B15003_M","tot_edu_attain_25yrs_and_up_somecollege_abovefreshman_B15003_E","tot_edu_attain_25yrs_and_up_somecollege_abovefreshman_B15003_M","tot_edu_attain_25yrs_and_up_assoc_B15003_E","tot_edu_attain_25yrs_and_up_assoc_B15003_M","tot_edu_attain_25yrs_and_up_bach_B15003_E","tot_edu_attain_25yrs_and_up_bach_B15003_M","tot_edu_attain_25yrs_and_up_masters_B15003_E","tot_edu_attain_25yrs_and_up_masters_B15003_M","tot_edu_attain_25yrs_and_up_prof_degree_B15003_E","tot_edu_attain_25yrs_and_up_prof_degree_B15003_M","tot_edu_attain_25yrs_and_up_doctorate_B15003_E","tot_edu_attain_25yrs_and_up_doctorate_B15003_M","tot_race_known_E","tot_race_known_M","tot_race_black_african_american_alone_combination_E","tot_race_black_african_american_alone_combination_M","tot_hisp_latino_origin_known_E","tot_hisp_latino_origin_known_M","tot_hisp_latino_origin_E","tot_hisp_latino_origin_M","per_black","per_hisp","per_poverty","per_hs_diploma","perw_adv_degree","arrest_perc"
51,710,"Norfolk","Virginia",242803,36.891356,-76.262277,253,1.29252900165907e-07,1908,9.86384232586109e-07,51710,"25",220136,1395,43383,2131,152497,120,31675,1035,7329,619,10253,676,29045,1023,12668,700,25898,850,11644,681,3008,297,2159,248,245592,NA,108549,555,245592,NA,19359,NA,44.2,7.88,19.71,20.77,36.31,0.525246234779331
51,720,"Norton","Virginia",3958,36.938169,-82.624348,8,5.74199400918265e-07,93,1.27240470382438e-05,51720,"25",3935,52,1155,272,2826,215,535,133,155,97,242,92,606,186,266,124,320,121,130,66,18,17,10,15,3990,NA,256,182,3990,NA,43,65,6.42,1.08,29.35,18.93,26.33,1.58770161290323
51,730,"Petersburg","Virginia",32420,37.210514,-77.396848,30,1.70546547077039e-07,273,1.80263144489453e-06,51730,"25",31197,167,8037,878,22025,108,6341,575,1221,205,1434,275,3690,388,1179,187,2363,292,1194,230,202,82,209,94,31827,NA,24962,147,31827,NA,1522,NA,78.43,4.78,25.76,28.79,23.37,2.03376944277252
51,735,"Poquoson","Virginia",12150,37.131625,-76.381322,75,6.9087654157662e-07,523,4.51343743426461e-06,51735,"25",11983,78,536,235,8421,85,1985,250,202,71,502,124,1017,196,771,174,1836,234,1471,217,187,86,114,70,12039,NA,199,19,12039,NA,311,NA,1.65,2.58,4.47,23.57,52,0.311730926989336
51,740,"Portsmouth","Virginia",95535,36.833227,-76.35389,229,2.30424435240793e-07,1715,2.47808294669273e-06,51740,"25",91565,611,15707,1172,63522,141,15114,861,3809,428,4603,406,13170,722,5385,485,8784,529,3568,399,652,160,514,137,95311,NA,52843,302,95311,NA,4106,NA,55.44,4.31,17.15,23.79,29.76,0.473412799053174
51,750,"Radford","Virginia",16408,37.128676,-80.558831,84,6.64836296043013e-07,223,1.76730786167873e-06,51750,"25",14558,522,5230,601,7903,212,1514,381,345,148,408,132,1048,267,708,195,1647,338,957,246,105,60,383,138,17630,NA,1983,39,17630,NA,512,NA,11.25,2.9,35.93,19.16,48.08,1.20508206554338
51,760,"Richmond","Virginia",204214,37.53579,-77.466976,237,2.77961012994307e-07,1758,1.3957510521221e-06,51760,"25",213147,688,52298,2264,154419,154,27139,1210,7371,721,6696,520,21830,981,8799,548,35183,1328,16618,847,4699,417,2942,380,223787,NA,111883,372,223787,NA,14950,NA,50,6.68,24.54,17.57,44.19,0.813871660044671
51,770,"Roanoke","Virginia",97032,37.278728,-79.960131,56,1.91590857697836e-07,442,1.1939942413153e-06,51770,"25",97694,314,20046,1608,70005,325,18717,893,4156,508,5487,635,8656,720,6151,626,10586,633,3759,398,1626,271,724,171,99621,NA,31183,366,99621,NA,6104,NA,31.3,6.13,20.52,26.74,32.63,1.20296236989592
51,775,"Salem","Virginia",24802,37.286115,-80.05573,56,4.68451536726594e-07,440,3.82247584822642e-06,51775,"25",23010,376,2095,415,17082,220,3979,440,922,213,1503,261,2008,307,1934,264,3046,341,1632,276,148,72,140,71,25519,NA,2344,177,25519,NA,827,NA,9.19,3.24,9.1,23.29,40.39,1.77046367429708
51,790,"Staunton","Virginia",23746,38.157796,-79.077956,24,2.88924140735678e-07,173,1.33121349908427e-06,51790,"25",23139,222,3165,585,17576,137,4272,487,937,200,1427,283,1872,278,1215,262,3338,315,1978,249,317,105,346,122,24452,NA,3360,59,24452,NA,729,NA,13.74,2.98,13.68,24.31,40.93,1.10745526041249
51,800,"Suffolk","Virginia",84585,36.776711,-76.556872,38,3.37761834341418e-08,468,6.21484548340217e-07,51800,"25",88293,324,9520,1112,60201,116,14154,686,2762,349,4330,311,10054,625,5239,406,9960,607,5428,465,1014,169,524,116,89160,NA,39236,222,89160,NA,3764,NA,44.01,4.22,10.78,23.51,36.82,0.504468936776882
51,810,"Virginia Beach","Virginia",437994,36.821554,-76.099445,218,6.68126351862989e-08,1606,4.02152947437232e-07,51810,"25",438973,1133,33485,2049,305356,118,54286,1425,11052,687,24233,1089,55486,1576,32005,1196,68906,1677,28960,1010,6307,500,3261,398,450135,NA,98081,585,450135,NA,36043,NA,21.79,8.01,7.63,17.78,45.66,0.520448078473708
51,820,"Waynesboro","Virginia",21006,38.072013,-78.896755,29,2.39902634578119e-07,194,2.07920333049677e-06,51820,"25",21633,186,3766,778,15167,188,4024,519,949,201,1212,254,2160,356,1005,233,2145,352,1166,269,226,142,249,121,21926,NA,3500,243,21926,NA,1674,NA,15.96,7.63,17.41,26.53,31.59,0.901537917624182
51,830,"Williamsburg","Virginia",14068,37.275866,-76.713075,45,1.3668864140608e-06,279,4.07974800706412e-06,51830,"25",10537,334,2356,381,7283,129,1014,204,390,177,398,129,672,147,365,94,1953,225,1359,171,407,88,408,111,14788,NA,2227,173,14788,NA,1044,NA,15.06,7.06,22.36,13.92,61.68,1.02040816326531
51,840,"Winchester","Virginia",26203,39.175174,-78.170343,20,3.09748088559833e-07,189,4.32397997012786e-06,51840,"25",26745,219,4004,907,18402,191,3613,415,994,233,916,242,2234,342,1298,262,3492,407,1832,279,615,183,302,131,27789,NA,3647,126,27789,NA,4842,NA,13.12,17.42,14.97,19.63,40.97,1.25231250889427
